,sma_f,sma_s,rsi,sma_r,macd,macdSignal,macdHist,stoch_k,stoch_d,sma_test,macd_test,stoch_over_bought,stoch_over_sold,rsi_over_bought,rsi_over_sold
2017-07-18 00:00:00+00:00,2481.107836098201,2058.037439602301,47.9205587980427,45.4648064655588,-86.76595285599251,-58.02976823555112,-28.736184620441392,44.04488242126572,44.43006270925007,1,0,0,0,0,0
2017-07-19 00:00:00+00:00,2483.3078360926006,2068.342439599501,46.16402543157337,44.90213790513086,-81.57088058205272,-62.73799070485144,-18.832889877201282,42.72068642540339,43.637804046730416,1,0,0,0,0,0
2017-07-20 00:00:00+00:00,2496.4278360992007,2084.5124396094016,63.52737595707884,45.44391118251455,-28.46852045162086,-55.88409665420532,27.41557620258446,43.12245834793116,43.29600906486672,1,1,0,0,0,0
2017-07-21 00:00:00+00:00,2503.469911656001,2098.9094299015014,57.370862662422276,45.60840728118981,-1.4012955296971086,-44.98753642930368,43.58624089960657,46.562098914579956,44.1350812293048,1,1,0,0,0,0
2017-07-22 00:00:00+00:00,2512.2499116560007,2115.5194299011014,61.28160236913648,46.435517542059145,34.20417229288978,-29.149194684864987,63.35336697775477,48.63754970048065,46.10736898766388,1,1,0,0,0,0
2017-07-23 00:00:00+00:00,2518.1725113778007,2130.9586864546013,58.23216500667188,46.815455029557675,54.08665185596601,-12.502025376698786,66.58867723266479,52.140992087250005,49.11354690077017,1,1,0,0,0,0
2017-07-24 00:00:00+00:00,2523.8887841050005,2146.7068268330013,58.64798116530279,47.47379572646714,70.47825791266723,4.094031281174416,66.38422663149282,56.13437763531311,52.30430647434789,1,1,0,0,0,0
2017-07-25 00:00:00+00:00,2522.5016536776006,2160.2418268278016,52.29040939250512,48.144595492251455,66.29477301609222,16.53417962815798,49.76059338793424,56.56123303070408,54.945534251089036,1,1,0,0,0,0
2017-07-26 00:00:00+00:00,2516.108666612201,2173.1153332952013,51.12672904793213,48.8303334596861,59.098706589817084,25.047085020489803,34.05162156932728,54.66755961429726,55.78772342677146,1,1,0,0,0,0
2017-07-27 00:00:00+00:00,2516.598580397601,2187.1348522720014,55.031307616596195,49.44952442252967,64.24648078268092,32.886964172928025,31.359516609752895,55.943514160605396,55.724102268535546,1,1,0,0,0,0
